rank	gene	longname	N	nnei	nncd	nsil	nmis	nstp	nspl	nind	n	npat	nsite	pCV	pCL	pFN	p	q
2886	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	4748	2	0	0	1	0	0	0	1	1	1	3.647746e-01	NaN	NaN	3.647746e-01	1
2887	TIAM2	T-cell lymphoma invasion and metastasis 2	5202	17	0	0	1	0	0	0	1	1	1	3.649806e-01	NaN	NaN	3.649806e-01	1
2888	KLHL17	kelch-like 17 (Drosophila)	1973	355	0	0	1	0	0	0	1	1	1	3.650317e-01	NaN	NaN	3.650317e-01	1
2889	JAG1	jagged 1 (Alagille syndrome)	3757	78	0	1	1	0	0	0	1	1	1	3.652392e-01	NaN	NaN	3.652392e-01	1
2890	SLC5A12	solute carrier family 5 (sodium/glucose cotransporter), member 12	1913	244	0	0	1	0	0	0	1	1	1	3.654743e-01	NaN	NaN	3.654743e-01	1
2891	UMODL1	uromodulin-like 1	4425	9	0	1	1	0	0	0	1	1	1	3.656258e-01	NaN	NaN	3.656258e-01	1
2892	DNAJC21	DnaJ (Hsp40) homolog, subfamily C, member 21	1779	216	0	0	1	0	0	0	1	1	1	3.661852e-01	NaN	NaN	3.661852e-01	1
2893	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	8906	9	0	0	1	0	0	0	1	1	1	3.664293e-01	NaN	NaN	3.664293e-01	1
2894	C7orf63	chromosome 7 open reading frame 63	2914	3	0	0	1	0	0	0	1	1	1	3.667099e-01	NaN	NaN	3.667099e-01	1
2895	EXOC2	exocyst complex component 2	3655	8	0	0	0	0	1	0	1	1	1	3.667302e-01	NaN	NaN	3.667302e-01	1
2896	LRRK1	leucine-rich repeat kinase 1	6176	1	0	0	1	0	0	0	1	1	1	3.667499e-01	NaN	NaN	3.667499e-01	1
2897	EFNA4	ephrin-A4	936	248	0	0	1	0	0	0	1	1	1	3.667763e-01	NaN	NaN	3.667763e-01	1
2898	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	2284	34	0	0	1	0	0	0	1	1	1	3.668834e-01	NaN	NaN	3.668834e-01	1
2899	TOPBP1	topoisomerase (DNA) II binding protein 1	4677	7	0	0	1	0	0	0	1	1	1	3.669258e-01	NaN	NaN	3.669258e-01	1
2900	ATR	ataxia telangiectasia and Rad3 related	8119	53	0	0	1	0	0	0	1	1	1	3.670872e-01	NaN	NaN	3.670872e-01	1
2901	SEMA3G	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	2409	20	0	0	1	0	0	0	1	1	1	3.670926e-01	NaN	NaN	3.670926e-01	1
2902	F12	coagulation factor XII (Hageman factor)	1902	541	0	0	1	0	0	0	1	1	1	3.672524e-01	NaN	NaN	3.672524e-01	1
2903	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	1858	75	0	0	1	0	0	0	1	1	1	3.672791e-01	NaN	NaN	3.672791e-01	1
2904	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	3429	326	0	1	1	0	0	0	1	1	1	3.673343e-01	NaN	NaN	3.673343e-01	1
2905	ZNF407	zinc finger protein 407	6903	3	0	0	2	1	0	0	3	3	3	2.231370e-01	1	4.150000e-01	3.673904e-01	1
2906	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	3463	4	0	0	1	0	0	0	1	1	1	3.676134e-01	NaN	NaN	3.676134e-01	1
2907	ANO8	anoctamin 8	3767	76	0	0	1	0	0	0	1	1	1	3.676215e-01	NaN	NaN	3.676215e-01	1
2908	SNAPC1	small nuclear RNA activating complex, polypeptide 1, 43kDa	1143	75	0	1	1	0	0	0	1	1	1	3.679407e-01	NaN	NaN	3.679407e-01	1
2909	SDCCAG8	serologically defined colon cancer antigen 8	2228	158	0	1	1	0	0	0	1	1	1	3.679883e-01	NaN	NaN	3.679883e-01	1
2910	FAM198B	family with sequence similarity 198, member B	1677	429	0	0	1	0	0	0	1	1	1	3.680292e-01	NaN	NaN	3.680292e-01	1
2911	TRPM4	transient receptor potential cation channel, subfamily M, member 4	3780	6	0	0	1	0	0	0	1	1	1	3.684352e-01	NaN	NaN	3.684352e-01	1
2912	VASN	vasorin	2026	570	0	0	1	0	0	0	1	1	1	3.685165e-01	NaN	NaN	3.685165e-01	1
2913	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	5605	5	0	1	4	0	0	0	4	4	4	2.221432e-01	1	4.730000e-01	3.686583e-01	1
2914	CEP76	centrosomal protein 76kDa	2045	2	0	0	1	0	0	0	1	1	1	3.687723e-01	NaN	NaN	3.687723e-01	1
2915	PAQR4	progestin and adipoQ receptor family member IV	1149	547	0	0	1	0	0	0	1	1	1	3.687935e-01	NaN	NaN	3.687935e-01	1
2916	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	2980	63	0	1	1	0	0	0	1	1	1	3.690326e-01	NaN	NaN	3.690326e-01	1
2917	NGLY1	N-glycanase 1	2910	257	0	0	1	0	0	0	1	1	1	3.694990e-01	NaN	NaN	3.694990e-01	1
2918	CIB4	calcium and integrin binding family member 4	584	631	0	0	1	0	0	0	1	1	1	3.695169e-01	NaN	NaN	3.695169e-01	1
2919	NWD1	NACHT and WD repeat domain containing 1	4350	10	0	0	2	0	0	0	2	2	2	1.426608e-01	1	6.920000e-01	3.695224e-01	1
2920	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	4828	103	0	1	1	0	0	0	1	1	1	3.696849e-01	NaN	NaN	3.696849e-01	1
2921	PDE10A	phosphodiesterase 10A	2499	70	0	0	1	1	0	0	2	2	2	1.178249e-01	1	9.370000e-01	3.698000e-01	1
2922	AKAP8	A kinase (PRKA) anchor protein 8	2196	95	1	0	1	0	0	0	1	1	1	3.699495e-01	NaN	NaN	3.699495e-01	1
2923	GSTO2	glutathione S-transferase omega 2	1015	600	0	0	1	0	0	0	1	1	1	3.699561e-01	NaN	NaN	3.699561e-01	1
2924	GTPBP8	GTP-binding protein 8 (putative)	877	560	0	0	1	0	0	0	1	1	1	3.700898e-01	NaN	NaN	3.700898e-01	1
2925	KDM4A	lysine (K)-specific demethylase 4A	3279	8	0	0	1	0	0	0	1	1	1	3.701232e-01	NaN	NaN	3.701232e-01	1
2926	TBX15	T-box 15	1515	332	0	0	1	0	0	0	1	1	1	3.702280e-01	NaN	NaN	3.702280e-01	1
2927	CCDC93	coiled-coil domain containing 93	1988	13	1	0	1	0	0	0	1	1	1	3.705663e-01	NaN	NaN	3.705663e-01	1
2928	EWSR1	Ewing sarcoma breakpoint region 1	2269	66	0	0	1	0	0	0	1	1	1	3.712462e-01	NaN	NaN	3.712462e-01	1
2929	PDLIM4	PDZ and LIM domain 4	1019	771	0	0	1	0	0	0	1	1	1	3.712486e-01	NaN	NaN	3.712486e-01	1
2930	ZNF43	zinc finger protein 43	2442	12	0	0	1	0	0	0	1	1	1	3.713087e-01	NaN	NaN	3.713087e-01	1
2931	KRBA1	KRAB-A domain containing 1	3152	29	0	0	2	0	0	0	2	2	2	1.185421e-01	1	5.940000e-01	3.713317e-01	1
2932	BOC	Boc homolog (mouse)	3419	98	0	0	1	0	0	0	1	1	1	3.714951e-01	NaN	NaN	3.714951e-01	1
2933	CNNM3	cyclin M3	2154	32	0	1	1	0	0	0	1	1	1	3.715225e-01	NaN	NaN	3.715225e-01	1
2934	FAM194A	family with sequence similarity 194, member A	2048	290	0	0	1	0	0	0	1	1	1	3.715749e-01	NaN	NaN	3.715749e-01	1
2935	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	2411	29	0	1	2	0	0	0	2	2	2	1.188146e-01	1	8.160000e-01	3.719125e-01	1
2936	RGL3	ral guanine nucleotide dissociation stimulator-like 3	2269	52	0	0	1	0	0	0	1	1	1	3.721099e-01	NaN	NaN	3.721099e-01	1
2937	NCR3	natural cytotoxicity triggering receptor 3	739	1000	0	0	0	1	0	0	1	1	1	3.721747e-01	NaN	NaN	3.721747e-01	1
2938	PRB2	proline-rich protein BstNI subfamily 2	1265	192	0	0	1	0	0	0	1	1	1	3.722743e-01	NaN	NaN	3.722743e-01	1
2939	B4GALNT3	beta-1,4-N-acetyl-galactosaminyl transferase 3	3073	225	0	1	1	0	0	0	1	1	1	3.728855e-01	NaN	NaN	3.728855e-01	1
2940	DPH1	DPH1 homolog (S. cerevisiae)	1777	30	1	0	1	0	0	0	1	1	1	3.731254e-01	NaN	NaN	3.731254e-01	1
2941	ZNF556	zinc finger protein 556	1385	41	0	0	1	0	0	0	1	1	1	3.732726e-01	NaN	NaN	3.732726e-01	1
2942	KBTBD3	kelch repeat and BTB (POZ) domain containing 3	2254	574	0	0	1	0	0	0	1	1	1	3.732779e-01	NaN	NaN	3.732779e-01	1
2943	DIAPH3	diaphanous homolog 3 (Drosophila)	3710	52	0	0	2	0	0	0	2	2	2	1.196803e-01	1	9.610000e-01	3.737534e-01	1
2944	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	1597	518	0	0	1	0	0	0	1	1	1	3.739094e-01	NaN	NaN	3.739094e-01	1
2945	UNC5D	unc-5 homolog D (C. elegans)	2926	24	0	0	1	0	0	0	1	1	1	3.745649e-01	NaN	NaN	3.745649e-01	1
2946	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	3502	123	0	1	1	0	0	0	1	1	1	3.745738e-01	NaN	NaN	3.745738e-01	1
2947	SLCO4C1	solute carrier organic anion transporter family, member 4C1	2223	10	0	0	1	0	0	0	1	1	1	3.746025e-01	NaN	NaN	3.746025e-01	1
2948	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	2777	13	0	0	1	0	0	0	1	1	1	3.746182e-01	NaN	NaN	3.746182e-01	1
2949	PHF14	PHD finger protein 14	2732	91	0	0	1	0	0	0	1	1	1	3.748468e-01	NaN	NaN	3.748468e-01	1
2950	MID1	midline 1 (Opitz/BBB syndrome)	2040	3	0	0	1	0	0	0	1	1	1	3.748739e-01	NaN	NaN	3.748739e-01	1
2951	VGF	VGF nerve growth factor inducible	1852	501	0	0	1	0	0	0	1	1	1	3.753554e-01	NaN	NaN	3.753554e-01	1
2952	CECR1	cat eye syndrome chromosome region, candidate 1	1602	47	0	0	1	0	0	0	1	1	1	3.754630e-01	NaN	NaN	3.754630e-01	1
2953	TNRC6C	trinucleotide repeat containing 6C	5262	41	0	0	1	0	0	0	1	1	1	3.758332e-01	NaN	NaN	3.758332e-01	1
2954	INHBA	inhibin, beta A	1285	465	0	0	1	0	0	0	1	1	1	3.758508e-01	NaN	NaN	3.758508e-01	1
2955	C2CD4A	C2 calcium-dependent domain containing 4A	1114	5	0	0	1	0	0	0	1	1	1	3.760325e-01	NaN	NaN	3.760325e-01	1
2956	DUSP9	dual specificity phosphatase 9	1167	2	0	1	1	0	0	0	1	1	1	3.763233e-01	NaN	NaN	3.763233e-01	1
2957	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	2176	132	0	0	1	0	0	0	1	1	1	3.763439e-01	NaN	NaN	3.763439e-01	1
2958	ANKRD50	ankyrin repeat domain 50	4302	56	0	0	1	0	0	0	1	1	1	3.767402e-01	NaN	NaN	3.767402e-01	1
2959	USP10	ubiquitin specific peptidase 10	2449	7	0	1	1	0	0	0	1	1	1	3.768075e-01	NaN	NaN	3.768075e-01	1
2960	SLC12A6	solute carrier family 12 (potassium/chloride transporters), member 6	3669	247	1	0	1	0	0	0	1	1	1	3.768695e-01	NaN	NaN	3.768695e-01	1
2961	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	1522	329	0	0	1	0	0	0	1	1	1	3.771050e-01	NaN	NaN	3.771050e-01	1
2962	GRM7	glutamate receptor, metabotropic 7	2861	4	0	0	1	0	0	0	1	1	1	3.771187e-01	NaN	NaN	3.771187e-01	1
2963	TPH2	tryptophan hydroxylase 2	1513	35	0	0	1	1	0	0	2	2	2	1.212877e-01	1	3.290000e-01	3.771551e-01	1
2964	TCF15	transcription factor 15 (basic helix-loop-helix)	606	1	0	0	1	0	0	0	1	1	1	3.773916e-01	NaN	NaN	3.773916e-01	1
2965	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)	2243	7	0	0	1	0	0	0	1	1	1	3.775236e-01	NaN	NaN	3.775236e-01	1
2966	GOLGA3	golgi autoantigen, golgin subfamily a, 3	4721	34	0	1	1	0	0	0	1	1	1	3.775502e-01	NaN	NaN	3.775502e-01	1
2967	CHRNA1	cholinergic receptor, nicotinic, alpha 1 (muscle)	1487	357	0	0	1	0	0	0	1	1	1	3.787298e-01	NaN	NaN	3.787298e-01	1
2968	CRMP1	collapsin response mediator protein 1	2156	15	0	0	1	0	0	0	1	1	1	3.789759e-01	NaN	NaN	3.789759e-01	1
2969	MED13	mediator complex subunit 13	6643	2	0	0	1	0	0	0	1	1	1	3.791179e-01	NaN	NaN	3.791179e-01	1
2970	NARG2	NMDA receptor regulated 2	3009	47	0	1	1	0	0	0	1	1	1	3.792445e-01	NaN	NaN	3.792445e-01	1
2971	RERE	arginine-glutamic acid dipeptide (RE) repeats	4785	9	0	0	2	0	0	0	2	2	2	1.223667e-01	1	7.210000e-01	3.794265e-01	1
2972	LRPAP1	low density lipoprotein receptor-related protein associated protein 1	1104	10	0	1	1	0	0	0	1	1	1	3.795044e-01	NaN	NaN	3.795044e-01	1
2973	CERKL	ceramide kinase-like	1731	53	0	0	1	0	0	0	1	1	1	3.795393e-01	NaN	NaN	3.795393e-01	1
2974	AHCYL2	S-adenosylhomocysteine hydrolase-like 2	2020	29	0	0	1	0	0	0	1	1	1	3.798316e-01	NaN	NaN	3.798316e-01	1
2975	OPN3	opsin 3	3048	43	0	0	1	0	0	0	1	1	1	3.799795e-01	NaN	NaN	3.799795e-01	1
2976	PAX9	paired box 9	1038	1000	0	0	0	0	0	1	1	1	1	3.800142e-01	NaN	NaN	3.800142e-01	1
2977	TMTC3	transmembrane and tetratricopeptide repeat containing 3	3037	31	0	0	1	0	0	0	1	1	1	3.800426e-01	NaN	NaN	3.800426e-01	1
2978	JAKMIP3	janus kinase and microtubule interacting protein 3	2619	28	0	1	1	0	0	0	1	1	1	3.802489e-01	NaN	NaN	3.802489e-01	1
2979	TSPAN2	tetraspanin 2	696	694	0	0	1	0	0	0	1	1	1	3.802989e-01	NaN	NaN	3.802989e-01	1
2980	SRPK2	SFRS protein kinase 2	2202	25	0	0	1	0	0	0	1	1	1	3.804101e-01	NaN	NaN	3.804101e-01	1
2981	SSTR2	somatostatin receptor 2	1114	869	0	0	1	0	0	0	1	1	1	3.804520e-01	NaN	NaN	3.804520e-01	1
2982	IL1RAPL1	interleukin 1 receptor accessory protein-like 1	2133	3	0	0	1	0	0	0	1	1	1	3.807516e-01	NaN	NaN	3.807516e-01	1
2983	DOPEY1	dopey family member 1	7577	6	0	0	0	1	0	0	1	1	1	3.808350e-01	NaN	NaN	3.808350e-01	1
2984	WSB1	WD repeat and SOCS box-containing 1	1298	462	0	0	1	0	0	0	1	1	1	3.812815e-01	NaN	NaN	3.812815e-01	1
2985	NUP188	nucleoporin 188kDa	7005	37	0	1	1	0	0	0	1	1	1	3.813880e-01	NaN	NaN	3.813880e-01	1
2986	COG1	component of oligomeric golgi complex 1	3001	260	1	0	1	1	0	0	2	2	2	1.234098e-01	1	5.110000e-01	3.816132e-01	1
2987	FAM161B	family with sequence similarity 161, member B	2049	86	0	1	1	0	0	0	1	1	1	3.818939e-01	NaN	NaN	3.818939e-01	1
2988	HGFAC	HGF activator	2025	124	0	0	1	0	0	0	1	1	1	3.823322e-01	NaN	NaN	3.823322e-01	1
2989	SLC35F5	solute carrier family 35, member F5	1632	34	0	1	3	0	0	0	3	2	3	1.237756e-01	1	3.450000e-01	3.823781e-01	1
2990	CRTC2	CREB regulated transcription coactivator 2	2774	0	0	1	1	1	0	0	2	2	2	1.238322e-01	1	6.820000e-01	3.824963e-01	1
2991	ZNF592	zinc finger protein 592	3836	47	0	0	1	0	0	0	1	1	1	3.825896e-01	NaN	NaN	3.825896e-01	1
2992	LRRC52	leucine rich repeat containing 52	948	796	0	0	1	0	0	0	1	1	1	3.826745e-01	NaN	NaN	3.826745e-01	1
2993	KLHL34	kelch-like 34 (Drosophila)	1935	835	0	0	1	0	0	0	1	1	1	3.832190e-01	NaN	NaN	3.832190e-01	1
2994	ACRBP	acrosin binding protein	1670	26	0	0	1	0	0	0	1	1	1	3.832246e-01	NaN	NaN	3.832246e-01	1
2995	PCDHB16	protocadherin beta 16	4322	7	0	0	1	0	0	0	1	1	1	3.832327e-01	NaN	NaN	3.832327e-01	1
2996	ING1	inhibitor of growth family, member 1	1417	12	0	0	1	0	0	0	1	1	1	3.832396e-01	NaN	NaN	3.832396e-01	1
2997	PDCD6IP	programmed cell death 6 interacting protein	2690	39	0	0	1	0	0	0	1	1	1	3.835982e-01	NaN	NaN	3.835982e-01	1
2998	ORM1	orosomucoid 1	626	655	0	0	1	0	0	0	1	1	1	3.836176e-01	NaN	NaN	3.836176e-01	1
2999	ZCCHC7	zinc finger, CCHC domain containing 7	1664	495	0	0	1	0	0	0	1	1	1	3.838199e-01	NaN	NaN	3.838199e-01	1
3000	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	2392	89	0	1	2	0	0	0	2	2	2	1.245700e-01	1	4.340000e-01	3.840352e-01	1
3001	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	1560	32	0	1	1	0	0	0	1	1	1	3.841198e-01	NaN	NaN	3.841198e-01	1
3002	SYNE2	spectrin repeat containing, nuclear envelope 2	21231	1	0	1	2	0	0	0	2	2	2	7.296526e-01	1	7.900000e-02	3.844530e-01	1
3003	GSN	gelsolin (amyloidosis, Finnish type)	2449	106	0	2	1	0	0	0	1	1	1	3.845345e-01	NaN	NaN	3.845345e-01	1
3004	LAMP3	lysosomal-associated membrane protein 3	1271	539	0	0	1	0	0	0	1	1	1	3.845702e-01	NaN	NaN	3.845702e-01	1
3005	PLEKHH1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	4207	42	0	0	2	0	0	0	2	2	2	1.248380e-01	1	7.910000e-01	3.845931e-01	1
3006	SHCBP1	SHC SH2-domain binding protein 1	2069	38	0	0	1	0	0	0	1	1	1	3.846047e-01	NaN	NaN	3.846047e-01	1
3007	QRICH2	glutamine rich 2	5064	1	0	0	1	0	0	0	1	1	1	3.849016e-01	NaN	NaN	3.849016e-01	1
3008	INA	internexin neuronal intermediate filament protein, alpha	1510	10	0	1	1	0	0	0	1	1	1	3.850411e-01	NaN	NaN	3.850411e-01	1
3009	PRICKLE3	prickle homolog 3 (Drosophila)	1882	712	0	0	1	0	0	0	1	1	1	3.850907e-01	NaN	NaN	3.850907e-01	1
3010	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	2263	14	1	1	1	0	0	0	1	1	1	3.851494e-01	NaN	NaN	3.851494e-01	1
3011	SERPINE3	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3	1301	7	0	1	1	0	0	0	1	1	1	3.857361e-01	NaN	NaN	3.857361e-01	1
3012	GPR152	G protein-coupled receptor 152	1574	19	0	1	1	0	0	0	1	1	1	3.858341e-01	NaN	NaN	3.858341e-01	1
3013	RSPH4A	radial spoke head 4 homolog A (Chlamydomonas)	2171	199	0	0	1	0	0	0	1	1	1	3.858448e-01	NaN	NaN	3.858448e-01	1
3014	ACBD6	acyl-Coenzyme A binding domain containing 6	877	690	0	0	1	0	0	0	1	1	1	3.858738e-01	NaN	NaN	3.858738e-01	1
3015	ZNF629	zinc finger protein 629	2618	0	0	1	2	0	0	0	2	2	2	8.658384e-01	1	1.090000e-01	3.860655e-01	1
3016	NPAS2	neuronal PAS domain protein 2	2555	26	0	0	1	0	0	0	1	1	1	3.860682e-01	NaN	NaN	3.860682e-01	1
3017	PCDH18	protocadherin 18	3420	72	0	0	1	0	0	0	1	1	1	3.862109e-01	NaN	NaN	3.862109e-01	1
3018	KCNH3	potassium voltage-gated channel, subfamily H (eag-related), member 3	3308	2	0	0	1	0	0	0	1	1	1	3.863064e-01	NaN	NaN	3.863064e-01	1
3019	CSPG4	chondroitin sulfate proteoglycan 4	7007	17	0	0	1	0	0	0	1	1	1	3.864719e-01	NaN	NaN	3.864719e-01	1
3020	FMR1	fragile X mental retardation 1	1963	378	0	0	1	0	0	0	1	1	1	3.865201e-01	NaN	NaN	3.865201e-01	1
3021	COL27A1	collagen, type XXVII, alpha 1	5822	8	0	0	3	0	0	0	3	3	3	1.258027e-01	1	9.890000e-01	3.865967e-01	1
3022	SIRPB1	signal-regulatory protein beta 1	2358	11	0	1	1	0	0	0	1	1	1	3.866204e-01	NaN	NaN	3.866204e-01	1
3023	IRX5	iroquois homeobox 5	1460	588	0	0	2	0	0	0	2	2	2	1.258638e-01	1	4.300000e-01	3.867234e-01	1
3024	SLC25A46	solute carrier family 25, member 46	1287	877	0	0	2	0	0	0	2	2	2	1.259166e-01	1	5.140000e-01	3.868329e-01	1
3025	OPCML	opioid binding protein/cell adhesion molecule-like	1127	455	0	0	1	0	0	0	1	1	1	3.872068e-01	NaN	NaN	3.872068e-01	1
3026	LIMK2	LIM domain kinase 2	2386	6	0	0	1	0	0	0	1	1	1	3.875939e-01	NaN	NaN	3.875939e-01	1
3027	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	3326	16	0	0	1	0	0	0	1	1	1	3.877606e-01	NaN	NaN	3.877606e-01	1
3028	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	1697	16	0	0	1	0	0	0	1	1	1	3.879550e-01	NaN	NaN	3.879550e-01	1
3029	CHMP2B	chromatin modifying protein 2B	662	569	0	0	1	0	0	0	1	1	1	3.880001e-01	NaN	NaN	3.880001e-01	1
3030	TRIM62	tripartite motif-containing 62	1444	423	0	0	1	0	0	0	1	1	1	3.880737e-01	NaN	NaN	3.880737e-01	1
3031	DLGAP1	discs, large (Drosophila) homolog-associated protein 1	3027	70	0	0	1	0	0	0	1	1	1	3.880953e-01	NaN	NaN	3.880953e-01	1
3032	ZP4	zona pellucida glycoprotein 4	1669	33	0	0	1	0	0	0	1	1	1	3.882782e-01	NaN	NaN	3.882782e-01	1
3033	CASZ1	castor zinc finger 1	5354	10	0	0	1	0	0	0	1	1	1	3.884322e-01	NaN	NaN	3.884322e-01	1
3034	MECP2	methyl CpG binding protein 2 (Rett syndrome)	1539	2	0	0	1	0	0	0	1	1	1	3.887262e-01	NaN	NaN	3.887262e-01	1
3035	COMT	catechol-O-methyltransferase	830	791	0	0	1	0	0	0	1	1	1	3.888189e-01	NaN	NaN	3.888189e-01	1
3036	TNS3	tensin 3	4442	8	0	0	1	0	0	0	1	1	1	3.889567e-01	NaN	NaN	3.889567e-01	1
3037	C10orf68	chromosome 10 open reading frame 68	2284	3	0	0	1	0	0	0	1	1	1	3.889583e-01	NaN	NaN	3.889583e-01	1
3038	XPO4	exportin 4	3546	1	0	0	1	0	0	0	1	1	1	3.891238e-01	NaN	NaN	3.891238e-01	1
3039	RFPL2	ret finger protein-like 2	1233	529	0	0	1	0	0	0	1	1	1	3.891595e-01	NaN	NaN	3.891595e-01	1
3040	MYO1G	myosin IG	3143	32	0	0	1	0	0	0	1	1	1	3.893621e-01	NaN	NaN	3.893621e-01	1
3041	ARSG	arylsulfatase G	3343	54	0	0	1	0	0	0	1	1	1	3.893858e-01	NaN	NaN	3.893858e-01	1
3042	EIF2B2	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	1086	447	0	0	1	0	0	0	1	1	1	3.895027e-01	NaN	NaN	3.895027e-01	1
3043	IL2	interleukin 2	476	881	0	0	1	0	0	0	1	1	1	3.896696e-01	NaN	NaN	3.896696e-01	1
3044	CALD1	caldesmon 1	2489	117	1	0	1	0	0	0	1	1	1	3.898019e-01	NaN	NaN	3.898019e-01	1
3045	PDS5A	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	4173	30	0	0	1	0	0	0	1	1	1	3.900052e-01	NaN	NaN	3.900052e-01	1
3046	APPL2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	2075	8	0	1	1	0	0	0	1	1	1	3.901721e-01	NaN	NaN	3.901721e-01	1
3047	C10orf12	chromosome 10 open reading frame 12	3744	43	0	0	1	0	0	0	1	1	1	3.902825e-01	NaN	NaN	3.902825e-01	1
3048	ZC3H12D	zinc finger CCCH-type containing 12D	1604	1000	0	0	1	0	0	0	1	1	1	3.903684e-01	NaN	NaN	3.903684e-01	1
3049	SLC24A4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	1884	109	0	1	1	0	0	0	1	1	1	3.904645e-01	NaN	NaN	3.904645e-01	1
3050	C20orf27	chromosome 20 open reading frame 27	620	1000	0	0	1	0	0	0	1	1	1	3.910680e-01	NaN	NaN	3.910680e-01	1
3051	CTU2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	1608	1	0	0	1	0	0	0	1	1	1	3.916916e-01	NaN	NaN	3.916916e-01	1
3052	TERF2	telomeric repeat binding factor 2	1539	758	0	0	1	0	0	0	1	1	1	3.917051e-01	NaN	NaN	3.917051e-01	1
3053	SCN3A	sodium channel, voltage-gated, type III, alpha subunit	6203	8	0	0	1	0	0	0	1	1	1	3.919488e-01	NaN	NaN	3.919488e-01	1
3054	CHMP5	chromatin modifying protein 5	1108	691	0	0	1	0	0	0	1	1	1	3.919543e-01	NaN	NaN	3.919543e-01	1
3055	PRDM13	PR domain containing 13	2136	47	0	1	1	0	0	0	1	1	1	3.920616e-01	NaN	NaN	3.920616e-01	1
3056	TATDN2	TatD DNase domain containing 2	2314	30	0	0	1	0	0	0	1	1	1	3.920965e-01	NaN	NaN	3.920965e-01	1
3057	ATP9A	ATPase, class II, type 9A	3252	23	0	0	1	0	0	0	1	1	1	3.924559e-01	NaN	NaN	3.924559e-01	1
3058	KCNH5	potassium voltage-gated channel, subfamily H (eag-related), member 5	3041	83	0	1	1	0	0	0	1	1	1	3.925029e-01	NaN	NaN	3.925029e-01	1
3059	CSAD	cysteine sulfinic acid decarboxylase	1623	32	0	0	1	0	0	0	1	1	1	3.932317e-01	NaN	NaN	3.932317e-01	1
3060	UFSP1	UFM1-specific peptidase 1 (non-functional)	1066	1000	0	0	1	0	0	0	1	1	1	3.933819e-01	NaN	NaN	3.933819e-01	1
3061	KDM2B	lysine (K)-specific demethylase 2B	4184	281	1	0	1	0	0	0	1	1	1	3.939192e-01	NaN	NaN	3.939192e-01	1
3062	DOC2A	double C2-like domains, alpha	1243	50	0	0	1	0	0	0	1	1	1	3.939570e-01	NaN	NaN	3.939570e-01	1
3063	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	3312	113	0	1	1	0	0	0	1	1	1	3.940864e-01	NaN	NaN	3.940864e-01	1
3064	TRIM60	tripartite motif-containing 60	1420	2	0	0	1	0	0	0	1	1	1	3.944635e-01	NaN	NaN	3.944635e-01	1
3065	NCAM2	neural cell adhesion molecule 2	2582	38	0	0	2	0	0	0	2	2	2	1.296299e-01	1	2.420000e-01	3.944731e-01	1
3066	CDH3	cadherin 3, type 1, P-cadherin (placental)	2550	10	0	0	1	0	0	0	1	1	1	3.945668e-01	NaN	NaN	3.945668e-01	1
3067	SCUBE1	signal peptide, CUB domain, EGF-like 1	3053	33	0	0	1	0	0	0	1	1	1	3.946053e-01	NaN	NaN	3.946053e-01	1
3068	GYLTL1B	glycosyltransferase-like 1B	2218	40	1	0	1	0	0	0	1	1	1	3.948368e-01	NaN	NaN	3.948368e-01	1
